GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poseidon,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
poseidon,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
poseidon,com.nnk.springboot.controllers,CurveController,14,140,0,8,1,36,3,11,3,7
poseidon,com.nnk.springboot.controllers,UserController,14,126,0,4,1,32,3,8,3,6
poseidon,com.nnk.springboot.controllers,TradeController,14,155,3,7,1,39,6,9,3,7
poseidon,com.nnk.springboot.controllers,RuleNameController,14,103,0,4,1,27,3,8,3,6
poseidon,com.nnk.springboot.controllers,BidListController,12,3,0,0,6,1,6,1,6,1
poseidon,com.nnk.springboot.controllers,RatingController,14,103,0,4,1,27,3,8,3,6
poseidon,com.nnk.springboot.configuration,SecurityConfig,0,151,0,0,0,39,0,3,0,3
poseidon,com.nnk.springboot.service,FormatDate,30,32,0,0,13,10,6,3,6,3
poseidon,com.nnk.springboot.domain,BidList,223,3,0,0,90,2,45,1,45,1
poseidon,com.nnk.springboot.domain,Trade,70,146,0,0,25,63,2,42,2,42
poseidon,com.nnk.springboot.domain,User,18,38,0,0,7,17,1,11,1,11
poseidon,com.nnk.springboot.domain,Rating,18,38,0,0,7,17,1,11,1,11
poseidon,com.nnk.springboot.domain,CurvePoint,21,45,0,0,8,20,1,13,1,13
poseidon,com.nnk.springboot.domain,RuleName,24,52,0,0,9,23,1,15,1,15
poseidon,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
